,db_id,query,question
93,student_assessment,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,Find distinct cities of address of students?
94,student_assessment,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,What are the different cities where students live?
95,student_assessment,SELECT course_name FROM courses ORDER BY course_name,List the names of courses in alphabetical order?
96,student_assessment,SELECT course_name FROM courses ORDER BY course_name,What are the names of the courses in alphabetical order?
97,student_assessment,SELECT first_name FROM people ORDER BY first_name,List the first names of people in alphabetical order?
98,student_assessment,SELECT first_name FROM people ORDER BY first_name,What are the first names of the people in alphabetical order?
99,student_assessment,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,What are the id of students who registered courses or attended courses?
100,student_assessment,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,What are the ids of the students who either registered or attended a course?
101,student_assessment,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,Find the id of courses which are registered or attended by student whose id is 121?
102,student_assessment,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,What are the ids of the courses that are registered or attended by the student whose id is 121?
103,student_assessment,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),What are all info of students who registered courses but not attended courses?
104,student_assessment,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),What are all details of the students who registered but did not attend any course?
105,student_assessment,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",List the id of students who registered course statistics in the order of registration date.
106,student_assessment,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",What are the ids of the students who registered course statistics by order of registration date?
107,student_assessment,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",List the id of students who attended  statistics courses in the order of attendance date.
108,student_assessment,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",What are the ids of the students who attended courses in the statistics department in order of attendance date.
109,bike_1,SELECT date FROM weather WHERE max_temperature_f  >  85,Give me the dates when the max temperature was higher than 85.
110,bike_1,SELECT date FROM weather WHERE max_temperature_f  >  85,What are the dates with a maximum temperature higher than 85?
111,bike_1,SELECT name FROM station WHERE lat  <  37.5,What are the names of stations that have latitude lower than 37.5?
112,bike_1,SELECT name FROM station WHERE lat  <  37.5,What are the names of all stations with a latitude smaller than 37.5?
113,bike_1,"SELECT city ,  max(lat) FROM station GROUP BY city","For each city, return the highest latitude among its stations."
114,bike_1,"SELECT city ,  max(lat) FROM station GROUP BY city","For each city, what is the highest latitude for its stations?"
115,bike_1,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",Give me the start station and end station for the trips with the three oldest id.
116,bike_1,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",What is the station station and end station for the trips with the three smallest ids?
117,bike_1,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",What is the average latitude and longitude of stations located in San Jose city?
118,bike_1,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",What is the average latitude and longitude in San Jose?
119,bike_1,SELECT id FROM trip ORDER BY duration LIMIT 1,What is the id of the trip that has the shortest duration?
120,bike_1,SELECT id FROM trip ORDER BY duration LIMIT 1,What is the id of the shortest trip?
121,bike_1,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",What is the total and maximum duration of trips with bike id 636?
122,bike_1,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",What is the total and maximum duration for all trips with the bike id 636?
123,bike_1,"SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","For each zip code, return the average mean temperature of August there."
124,bike_1,"SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","For each zip code, what is the average mean temperature for all dates that start with '8'?"
125,bike_1,SELECT count(DISTINCT bike_id) FROM trip,"From the trip record, find the number of unique bikes."
126,bike_1,SELECT count(DISTINCT bike_id) FROM trip,How many different bike ids are there?
127,bike_1,SELECT count(DISTINCT city) FROM station,What is the number of distinct cities the stations are located at?
128,bike_1,SELECT count(DISTINCT city) FROM station,How many different cities have these stations?
129,bike_1,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",How many stations does Mountain View city has?
130,bike_1,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",How many stations are in Mountain View?
131,bike_1,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,Return the unique name for stations that have ever had 7 bikes available.
132,bike_1,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,What are the different names for each station that has ever had 7 bikes available?
133,bike_1,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",Which start station had the most trips starting from August? Give me the name and id of the station.
134,bike_1,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",What are the start station's name and id for the one that had the most start trips in August?
135,bike_1,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,Which bike traveled the most often in zip code 94002?
136,bike_1,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,What is the id of the bike that traveled the most in 94002?
137,bike_1,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,How many days had both mean humidity above 50 and mean visibility above 8?
138,bike_1,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,What is the number of days that had an average humity above 50 and an average visibility above 8?
139,bike_1,"SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","What is the latitude, longitude, city of the station from which the shortest trip started?"
140,bike_1,"SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","What is the latitude, longitude, and city of the station from which the trip with smallest duration started?"
141,bike_1,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",What are the ids of stations that are located in San Francisco and have average bike availability above 10.
142,bike_1,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",What are the ids of the stations in San Francisco that normally have more than 10 bikes available?
143,bike_1,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?
144,bike_1,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?
145,bike_1,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,What is the 3 most common cloud cover rates in the region of zip code 94107?
146,bike_1,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,What are the 3 most common cloud covers in the zip code of 94107?
147,bike_1,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,What is the zip code in which the average mean sea level pressure is the lowest?
148,bike_1,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,What is the zip code that has the lowest average mean sea level pressure?
149,bike_1,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",What is the average bike availability in stations that are not located in Palo Alto?
150,bike_1,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",What is the average bike availablility for stations not in Palo Alto?
151,bike_1,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),What is the average longitude of stations that never had bike availability more than 10?
152,bike_1,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),What is the mean longitude for all stations that have never had more than 10 bikes available?
153,bike_1,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80",When and in what zip code did max temperature reach 80?
154,bike_1,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80",What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?
155,bike_1,SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.
156,bike_1,SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?"
157,bike_1,"SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code","For each zip code, return how many times max wind speed reached 25?"
158,bike_1,"SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code","For each zip code, how many times has the maximum wind speed reached 25 mph?"
159,bike_1,"SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)",On which day and in which zip code was the min dew point lower than any day in zip code 94107?
160,bike_1,"SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)","Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?"
161,bike_1,"SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id","For each trip, return its ending station's installation date."
162,bike_1,"SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id",What is the installation date for each ending station on all the trips?
163,bike_1,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id  =  T2.id ORDER BY T2.dock_count DESC LIMIT 1,Which trip started from the station with the largest dock count? Give me the trip id.
164,bike_1,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id  =  T2.id ORDER BY T2.dock_count DESC LIMIT 1,What is the id of the trip that started from the station with the highest dock count?
165,bike_1,"SELECT count(*) FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id WHERE T2.city !=  ""San Francisco""",Count the number of trips that did not end in San Francisco city.
166,bike_1,"SELECT count(*) FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id WHERE T2.city != ""San Francisco""",How many trips did not end in San Francisco?
167,bike_1,"SELECT date FROM weather WHERE zip_code  =  94107 AND EVENTS != ""Fog"" AND EVENTS != ""Rain""","In zip code 94107, on which day neither Fog nor Rain was not observed?"
168,bike_1,"SELECT date FROM weather WHERE zip_code  =  94107 AND EVENTS != ""Fog"" AND EVENTS != ""Rain""",On which day has it neither been foggy nor rained in the zip code of 94107?
169,bike_1,SELECT id FROM station WHERE lat  >  37.4 EXCEPT SELECT station_id FROM status GROUP BY station_id HAVING min(bikes_available)  <  7,What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?
170,bike_1,SELECT id FROM station WHERE lat  >  37.4 EXCEPT SELECT station_id FROM status GROUP BY station_id HAVING min(bikes_available)  <  7,What are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?
171,bike_1,"SELECT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(bikes_available)  >  10 EXCEPT SELECT name FROM station WHERE city  =  ""San Jose""",What are names of stations that have average bike availability above 10 and are not located in San Jose city?
